"Q_No","Question_EN","Question_HI","Opt1_EN","Opt1_HI","Opt2_EN","Opt2_HI","Opt3_EN","Opt3_HI","Opt4_EN","Opt4_HI","Opt5_EN","Opt5_HI","Correct_Option","Sol_EN","Sol_HI"
"H-11","A very famous meter (Chhand) of Apabhramsha and early Hindi is:","अपभ्रंश और आदिकालीन हिन्दी का बहुत ही प्रसिद्ध छंद है:","Doha","दोहा","Vanshastha","वंशस्थ","Indravajra","इंद्रवज्रा","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","'Doha' (Duha) is the most prominent and beloved meter of Apabhramsha and early Hindi literature.","'दोहा' (दूहा) अपभ्रंश और आदिकालीन साहित्य का सबसे प्रिय और प्रसिद्ध छंद रहा है।"
"H-12","'Prose is the language of the struggle of life.' Which author's statement is this?","'गद्य जीवन संग्राम की भाषा है।' उक्त कथन किस रचनाकार का है?","Jaishankar Prasad","जयशंकर प्रसाद","Mahavir Prasad Dwivedi","महावीर प्रसाद द्विवेदी","Suryakant Tripathi 'Nirala'","सूर्यकांत त्रिपाठी 'निराला'","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","This famous statement about prose was given by Suryakant Tripathi 'Nirala'.","गद्य के विषय में यह प्रसिद्ध कथन सूर्यकांत त्रिपाठी 'निराला' जी का है।"
"H-13","The author of 'Mahapuran', which is based on the stories of great figures of Jain tradition, is:","जैन परम्परा के महापुरुपों की कथा लेकर 'महापुराण' के रचनाकार है:","Swayambhu","स्वयंभू","Dhanpal","धनपाल","Pushpadant","पुष्पदंत","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","'Mahapuran' was composed by Pushpadant in the 10th century.","'महापुराण' की रचना 10वीं शताब्दी में पुष्पदंत ने की थी।"
"H-14","'Bha avatar mor nau sadi. Tees baras upar kavi badi.' The poet of the above line is:","'भा अवतार मोर नौ सदी। तीस बरस ऊपर कवि बदी ॥' उपर्युक्त पंक्ति के कवि हैं:","Jayasi","जायसी","Kabirdas","कबीरदास","Alam","आलम","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","These lines are written by Malik Muhammad Jayasi in his epic 'Padmavat'.","ये पंक्तियाँ मलिक मुहम्मद जायसी द्वारा रचित 'पद्मावत' की हैं।"
"H-15","How did this emergence of devotion (Bhakti) in North India happen 'suddenly like a flash of lightning'? - Whose underlined statement is this?","उत्तर भारत में भक्ति का यह उन्मेष 'बिजली की चमक के समान अचानक कैसे हुआ?' - रेखांकित पंक्ति किस विद्वान् की है?","Ramchandra Shukla","रामचंद्र शुक्ल","Hazari Prasad Dwivedi","हजारी प्रसाद द्विवेदी","George Abraham Grierson","जॉर्ज अब्राहम ग्रियर्सन","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","George Grierson described the sudden rise of the Bhakti movement as a 'flash of lightning'.","जॉर्ज ग्रियर्सन ने ही भक्ति काल के उदय को 'बिजली की चमक के समान अचानक' बताया था।"
"H-16","'When self-experienced expression based on pain started, it was named Chhayavad in Hindi.' Whose statement is this?","'जब वेदना के आधार पर स्वानुभूतिमयी अभिव्यक्ति होने लगी तब हिन्दी में उसे छायावाद नाम से अभिहित किया गया।' उक्त कथन किस लेखक का है?","Sumitranandan Pant","सुमित्रानंदन पंत","Jaishankar Prasad","जयशंकर प्रसाद","Nagendra","नगेन्द्र","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","This is a famous definition of Chhayavad given by Jaishankar Prasad.","यह छायावाद की बहुत ही प्रसिद्ध परिभाषा है जो जयशंकर प्रसाद ने दी है।"
"H-17","'The knowledge given by this pain and defeat, will only give determination.' Whose dialogue is this from 'Andha Yug'?","'यह जो पीड़ा ने पराजय ने दिया है ज्ञान, दृढ़ता ही देगा वह।' 'अंधा युग' का उपर्युक्त संवाद किसका है?","Dhritarashtra","धृतराष्ट्र","Kripacharya","कृपाचार्य","Vidur","विविदुर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","This dialogue is spoken by Dhritarashtra in Dharamvir Bharati's play 'Andha Yug'.","यह संवाद धरमवीर भारती के नाटक 'अंधा युग' में धृतराष्ट्र का है।"
"H-18","What is the correct sequence of the cantos (Sargas) of 'Kamayani'?","'कामायनी' के सर्गों का सही अनुक्रम क्या है?","Shraddha, Lajja, Darshan, Ida, Nirved","श्रद्धा, लज्जा, दर्शन, इड़ा, निर्वेद","Shraddha, Lajja, Ida, Nirved, Darshan","श्रद्धा, लज्जा, इड़ा, निर्वेद, दर्शन","Lajja, Shraddha, Nirved, Ida, Darshan","लज्जा, श्रद्धा, निर्वेद, इड़ा, दर्शन","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","The correct sequence out of the 15 cantos is: Shraddha (3rd), Lajja (6th), Ida (9th), Nirved (12th), Darshan (13th).","कामायनी के 15 सर्गों में सही क्रम है: श्रद्धा (तीसरा), लज्जा (छठा), इड़ा (नौवां), निर्वेद (बारहवां), दर्शन (तेरहवां)। अतः विकल्प B सही है।"
"H-19","Which Western scholar relied on the concept of 'Intuition' (Sahajanubhuti) to build his poetic theory?","अपने काव्य-सिद्धांत की निर्मिति के लिए पाश्चात्य आचार्य ने 'सहजानुभूति' अवधारणा का सहारा लिया है?","Croce","क्रोचे","Eliot","इलियट","Matthew Arnold","मैथ्यू अर्नाल्ड","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Benedetto Croce's theory of Expressionism is fundamentally based on 'Intuition'.","बेनेदेत्तो क्रोचे के अभिव्यंजनावाद का मूल आधार 'सहजानुभूति' (Intuition) ही है।"
"H-20","The correct sequence of Premchand's novels from the point of view of publication year is:","प्रकाशन काल की दृष्टि से प्रेमचंद के उपन्यासों का सही अनुक्रम है:","Gaban, Kayakalp, Godan, Karmabhoomi","गबन, कायाकल्प, गोदान, कर्मभूमि","Godan, Gaban, Karmabhoomi, Kayakalp","गोदान, गबन, कर्मभूमि, कायाकल्प","Kayakalp, Gaban, Karmabhoomi, Godan","कायाकल्प, गबन, कर्मभूमि, गोदान","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Kayakalp (1926), Gaban (1931), Karmabhoomi (1932), Godan (1936).","सही क्रम: कायाकल्प (1926), गबन (1931), कर्मभूमि (1932), और गोदान (1936)।"
"H-21","'Sakhi, vasant aaya...' The above poetic lines belong to which creator?","'सखि, वसंत आया... भरा हर्ष वन के मन...' उपर्युक्त काव्य-पंक्तियाँ किस रचनाकार की हैं?","Jaishankar Prasad","जयशंकर प्रसाद","Sumitranandan Pant","सुमित्रानंदन पंत","Suryakant Tripathi 'Nirala'","सूर्यकांत त्रिपाठी 'निराला'","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","This is a famous poem by Suryakant Tripathi 'Nirala'.","यह सूर्यकांत त्रिपाठी 'निराला' जी की अत्यंत प्रसिद्ध कविता है।"
"H-22","According to almost all historians like Ramchandra Shukla, Ramshankar Shukla 'Rasal', and Hazari Prasad Dwivedi, who is the folk poet (Lok Kavi) of Hindi?","रामचंद्र शुक्ल, रामशंकर शुक्ल 'रसाल' तथा हजारी प्रसाद द्विवेदी आदि प्रायः सभी इतिहासकारों के अनुसार हिन्दी का लोककवि कौन है?","Ghagh","घाघ","Raslin","रसलीन","Biharilal","बिहारीलाल","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","'Ghagh' (and Bhaddari) are universally accepted by historians as the folk poets of Hindi agricultural life.","'घाघ' और 'भड्डरी' को हिन्दी के कृषक जीवन का लोककवि माना जाता है।"
"H-23","Who is the pioneer of the 'Sachetan Kahani' (Conscious Story) movement?","'सचेतन कहानी आंदोलन' के प्रणेता कौन है?","Mohan Rakesh","मोहन राकेश","Kamleshwar","कमलेश्वर","Mahip Singh","महीप सिंह","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Dr. Mahip Singh is the initiator of the 'Sachetan Kahani' movement.","डॉ. महीप सिंह 'सचेतन कहानी आंदोलन' के प्रवर्तक माने जाते हैं।"
"H-24","Which is not a Lalit-Nibandh (light essay) work by Kubernath Ray?","कुबेरनाथ राय की कौन-सी ललित-निबंध कृति नहीं है?","Vani Ka Kshirsagar","वाणी का क्षीरसागर","Patra Maniputul Ke Naam","पत्र मणिपुतुल के नाम","Jagat Tapovan So Kiyo","जगत् तपोवन सो कियो","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","4","Both A and C are essays by Vidya Niwas Mishra, not Kubernath Ray. Only B is by Kubernath Ray. Hence 'More than one' is correct.","'वाणी का क्षीरसागर' और 'जगत् तपोवन सो कियो' दोनों विद्यानिवास मिश्र के निबंध हैं। अतः कुबेरनाथ राय की एक से अधिक कृतियाँ नहीं हैं (विकल्प D सही है)।"
"H-25","According to the birth year, which of the following is the correct sequence of poets?","जन्मकाल के अनुसार निम्नलिखित में से कौन-सा कवियों का सही अनुक्रम है?","Keshavdas, Matiram, Bihari, Ghananand","केशवदास, मतिराम, बिहारी, घनानंद","Keshavdas, Bihari, Matiram, Ghananand","केशवदास, बिहारी, मतिराम, घनानंद","Ghananand, Matiram, Keshavdas, Bihari","घनानंद, मतिराम, केशवदास, बिहारी","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Keshavdas (1555), Bihari (1595), Matiram (1617), Ghananand (1689).","सही क्रम: केशवदास (1555 ई.), बिहारी (1595 ई.), मतिराम (1617 ई.), और घनानंद (1689 ई.)।"
"H-26","'The remarkable thing is that the tradition of modern prose literature started with drama.' Whose statement is this?","'विलक्षण बात यह है कि आधुनिक गद्य-साहित्य की परंपरा का प्रवर्तन नाटक से हुआ।' यह कथन किस इतिहासकार का है?","Ramchandra Shukla","रामचंद्र शुक्ल","Hazari Prasad Dwivedi","हजारी प्रसाद द्विवेदी","Ganpatichandra Gupta","गणपतिचंद्र गुप्त","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","This is a famous quote by Acharya Ramchandra Shukla from his 'Hindi Sahitya Ka Itihas'.","यह आचार्य रामचंद्र शुक्ल का बहुत ही प्रसिद्ध कथन है जो उन्होंने अपने इतिहास ग्रंथ में लिखा है।"
"H-27","Who among these is given the title of 'Dhwani Prasthapan Paramacharya'?","'ध्वनि प्रस्थापन परमाचार्य' की पदवी इनमें से किसको दी जाती है?","Anandavardhan","आनंदवर्धन","Mammat","मम्मट","Abhinavagupta","अभिनवगुष्ठ","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Acharya Mammat is known as 'Dhwani Prasthapan Paramacharya' (the ultimate establisher of the Dhwani school).","आचार्य मम्मट को 'ध्वनि प्रस्थापन परमाचार्य' कहा जाता है।"
"H-28","The author of Rahul Sankrityayan's biography 'Samaya Samyavadi' is:","राहुल सांकृत्यायन की जीवनी 'समय साम्यवादी' के लेखक है:","Kamala Sankrityayan","कमला सांकृत्यायन","Vishnuchandra Sharma","विष्णुचंद्र शर्मा","Tejbahadur Chaudhary","तेजबहादुर चौधरी","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","'Samaya Samyavadi' is the biography of Rahul Sankrityayan, written by Vishnuchandra Sharma.","राहुल सांकृत्यायन की यह जीवनी विष्णुचंद्र शर्मा द्वारा लिखी गई है।"
"H-29","'Saje mohan-moh kaun...' Which heroine is described in the above verse?","'साजे मोहन-मोह कौं, मोहीं करत कुचैन...' उपर्युक्त पद में किस नायिका का वर्णन है?","Abhisarika","अभिसारिका","Purvanuragini","पूर्वानुरागिणी","Vipralabdha","विप्रलब्धा","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","The verse describes the state of falling in love before a union, which defines a 'Purvanuragini' Nayika.","इस पद में मिलन से पूर्व के अनुराग (प्रेम) का वर्णन है, जो 'पूर्वानुरागिणी' नायिका की विशेषता है।"
"H-30","Consider the statements: Assertion (A) and Reason (R):","स्थापना (अ) और तर्क (ब) पर विचार कीजिए:","(A) is true, (R) is false","(अ) सही है और (ब) गलत है","Both (A) and (R) are false","(अ) और (ब) दोनों गलत हैं","(A) is false, (R) is true","(अ) गलत है और (ब) सही है","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Assertion (A) is true as imagination is highly valued in Western Romantic literature. Reason (R) is false because Western literature is not purely born of imagination.","स्थापना (अ) सही है क्योंकि पाश्चात्य साहित्य में कल्पना को बहुत महत्व मिला है। तर्क (ब) गलत है क्योंकि पाश्चात्य साहित्य केवल कल्पनाप्रसूत नहीं है।"
"31","The sum of the first five prime numbers is:","प्रथम पाँच अभाज्य संख्याओं का योग है:","18","18","28","28","26","26","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","The first five prime numbers are 2, 3, 5, 7, and 11. Sum = 2 + 3 + 5 + 7 + 11 = 28.","प्रथम पाँच अभाज्य संख्याएँ 2, 3, 5, 7 और 11 हैं। इनका योग = 2 + 3 + 5 + 7 + 11 = 28 होगा।"
"32","Three numbers are in the ratio 3:4:5 and their LCM is 2400. Their HCF is:","तीन संख्याएँ 3:4:5 के अनुपात में हैं और उनका LCM 2400 है। उनका HCF है:","40","40","80","80","120","120","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Let numbers be 3x, 4x, 5x. Their LCM = 60x. Given 60x = 2400, so x = 40. The HCF is x, which is 40.","मान लें संख्याएँ 3x, 4x, 5x हैं। इनका LCM = 60x होगा। 60x = 2400, अतः x = 40। इनका HCF 'x' ही होगा, अर्थात् 40।"
"33","Dividing 4.036 by 0.04 yields:","4.036 को 0.04 से विभाजित करने पर प्राप्त होता है:","100.9","100.9","10.09","10.09","1.009","1.009","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","4.036 / 0.04 = 403.6 / 4 = 100.9.","4.036 / 0.04 = 403.6 / 4 = 100.9 होता है।"
"34","The cube root of 0.000216 is:","0.000216 का घनमूल है:","0.006","0.006","0.06","0.06","0.6","0.6","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","216 is the cube of 6. Since there are 6 decimal places, the cube root will have 2 decimal places. So, 0.06.","216, 6 का घन है। यहाँ 6 दशमलव स्थान हैं, अतः घनमूल में 2 दशमलव स्थान होंगे। इसलिए उत्तर 0.06 होगा।"
"35","The average of five numbers is 27. If one number is removed, the average becomes 25. The removed number is:","पाँच संख्याओं का औसत 27 है। यदि एक संख्या हटा दी जाए, तो औसत 25 हो जाता है। निकाली गई संख्या है:","27","27","30","30","35","35","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Sum of 5 numbers = 5 × 27 = 135. Sum of remaining 4 numbers = 4 × 25 = 100. Removed number = 135 - 100 = 35.","5 संख्याओं का कुल योग = 5 × 27 = 135। 4 संख्याओं का योग = 4 × 25 = 100। निकाली गई संख्या = 135 - 100 = 35।"
"36","The median of 34, 47, 29, 41, 33, 69 is:","34, 47, 29, 41, 33, 69 का माध्यक है:","34","34","41","41","37.5","37.5","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Ascending order: 29, 33, 34, 41, 47, 69. Number of terms (n) = 6. Median = average of 3rd and 4th terms = (34+41)/2 = 37.5.","आरोही क्रम: 29, 33, 34, 41, 47, 69। यहाँ पदों की संख्या 6 (सम) है। माध्यक = बीच के दो पदों का औसत = (34+41)/2 = 37.5।"
"37","The product of two co-prime numbers is 117. Their LCM should be:","दो सह-अभाज्य संख्याओं का गुणनफल 117 है। उनका LCM होना चाहिए:","1","1","117","117","Equal to their HCF","उनके HCF के बराबर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","For co-prime numbers, HCF = 1. We know Product = HCF × LCM. So, 117 = 1 × LCM. Thus, LCM = 117.","सह-अभाज्य संख्याओं का HCF 1 होता है। संख्याओं का गुणनफल = HCF × LCM। इसलिए, 117 = 1 × LCM, अतः LCM 117 होगा।"
"38","If 1/3 + 1/2 + 1/x = 4, then find the value of x.","यदि 1/3 + 1/2 + 1/x = 4 तो x का मान ज्ञात कीजिए।","6/19","6/19","5/18","5/18","24/11","24/11","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","(1/3) + (1/2) = 5/6. So, 5/6 + 1/x = 4. 1/x = 4 - 5/6 = 19/6. Therefore, x = 6/19.","1/3 + 1/2 = 5/6 होता है। 5/6 + 1/x = 4 ⇒ 1/x = 4 - 5/6 = 19/6। अतः x = 6/19।"
"39","A student's marks were wrongly entered as 83 instead of 63. Due to this, the class average increased by half (1/2). The number of students in the class is:","एक छात्र के अंक गलती से 63 के बजाय 83 दर्ज हो गए। इस कारण से कक्षा के औसत अंक आधे (1/2) से बढ़ गए। कक्षा में छात्रों की संख्या है:","73","73","40","40","20","20","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Error in marks = 83 - 63 = 20. This total increase of 20 caused an average increase of 0.5 per student. Total students = 20 / 0.5 = 40.","अंकों में वृद्धि = 83 - 63 = 20। कुल वृद्धि 20 है जिससे प्रति छात्र औसत आधा (0.5) बढ़ा। छात्रों की कुल संख्या = 20 / 0.5 = 40।"
"40","If 5^(x+3) = (25)^(3x-4), then the value of x is:","यदि 5^(x+3) = (25)^(3x-4) तो x का मान है:","11/5","11/5","13/5","13/5","11/3","11/3","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","5^(x+3) = (5^2)^(3x-4) ⇒ 5^(x+3) = 5^(6x-8). Equating powers: x + 3 = 6x - 8 ⇒ 5x = 11 ⇒ x = 11/5.","25 को 5^2 लिख सकते हैं। 5^(x+3) = 5^(6x-8)। घातों की तुलना करने पर: x + 3 = 6x - 8 ⇒ 5x = 11 ⇒ x = 11/5।"
"41","₹1,210 was divided among A, B, C such that A:B = 5:4 and B:C = 9:10. Then C gets:","₹1,210 को A, B, C के बीच विभाजित किया गया ताकि A:B=5:4 और B:C=9:10 हो। तो C को मिलता है:","400","400","475","475","340","340","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Multiply A:B by 9 and B:C by 4 to make B equal. A:B:C = 45:36:40. Total parts = 121. Value of 1 part = 10. C gets 40 × 10 = ₹400.","B का अनुपात समान करने के लिए गुणा करें: A:B:C = 45:36:40। कुल भाग = 121। 1 भाग = 10। C का हिस्सा = 40 × 10 = ₹400।"
"42","How much time will it take to increase the value of a sum invested at 5% p.a. simple interest by 40%?","5% वार्षिक साधारण ब्याज पर निवेश की गई किसी धनराशि का मूल्य 40% तक बढ़ाने में कितना समय लगेगा?","6 years","6 वर्ष","7 years","7 वर्ष","8 years","8 वर्ष","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Let Principal = P. Interest = 40% of P = 0.4P. Formula: SI = (P × R × T)/100 ⇒ 0.4P = (P × 5 × T)/100 ⇒ T = 40 / 5 = 8 years.","मान लें मूलधन P है। ब्याज मूलधन का 40% (0.4P) है। SI = (P × R × T) / 100 ⇒ 0.4P = (P × 5 × T)/100 ⇒ T = 40 / 5 = 8 वर्ष।"
"43","The ratio of the volumes of two cubes is 8:27. The ratio of their surface areas is:","दो घनों के आयतन का अनुपात 8:27 है। उनके सतह क्षेत्रफल का अनुपात है:","2:3","2:3","4:9","4:9","12:9","12:9","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Volume ratio is a³:b³ = 8:27, so side ratio a:b = 2:3. Surface area ratio is a²:b² = 4:9.","आयतन का अनुपात (a³:b³) = 8:27, अतः भुजाओं का अनुपात (a:b) = 2:3 होगा। सतह क्षेत्रफल का अनुपात (a²:b²) = 4:9 होगा।"
"44","If x = 3 and y = -2 is a solution of the equation 4px - 3y = 12, then the value of p is:","यदि x = 3 और y = -2 समीकरण 4px - 3y = 12 का एक समाधान है, तो p का मान है:","0","0","-2","-2","1/2","1/2","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Put x = 3, y = -2 in equation: 4p(3) - 3(-2) = 12 ⇒ 12p + 6 = 12 ⇒ 12p = 6 ⇒ p = 6/12 = 1/2.","समीकरण में मान रखने पर: 4p(3) - 3(-2) = 12 ⇒ 12p + 6 = 12 ⇒ 12p = 6 ⇒ p = 1/2।"
