"Subject","Topic","Q_No","Question_EN","Question_HI","Opt1_EN","Opt1_HI","Opt2_EN","Opt2_HI","Opt3_EN","Opt3_HI","Opt4_EN","Opt4_HI","Opt5_EN","Opt5_HI","Correct_Option","Sol_EN","Sol_HI"
"Reasoning","Venn Diagram","RSN16-11","Which diagram represents ""Vegetable"", ""Potato"" and ""Cauliflower""?","निम्नलिखित में से कौन-सा आरेख ""सब्जी"", ""आलू"" और ""गोभी"" को दर्शाता है?","Two separate circles inside one large circle","एक बड़े वृत्त के अंदर दो अलग वृत्त","Three intersecting circles","तीन एक-दूसरे को काटते हुए वृत्त","Three separate circles","तीन अलग-अलग वृत्त","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Potato and cauliflower are both distinct types of vegetables, so two separate circles inside one large circle.","आलू और गोभी दोनों अलग-अलग प्रकार की सब्जियाँ हैं, अतः एक बड़े वृत्त के अंदर दो अलग वृत्त दर्शाते हैं।"
"Reasoning","Dice & Cube","RSN16-12","In a standard dice, if the bottom face shows 2, what number will be on the top face?","एक मानक पासे (Standard Dice) में यदि पेंदे (नीचे) पर 2 है, तो शीर्ष (ऊपर) पर कौन-सी संख्या होगी?","5","5","6","6","4","4","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Opposite faces of a standard dice always add up to 7; 7 - 2 = 5.","मानक पासे के विपरीत फलकों का योग सदैव 7 होता है; 7 - 2 = 5।"
"Reasoning","Dice & Cube","RSN16-13","A large cube with a 3 cm side is cut into smaller cubes of 1 cm each. How many small cubes will be formed in total?","3 सेमी भुजा वाले बड़े घन को 1 सेमी के छोटे घनों में काटा जाता है। कुल कितने छोटे घन बनेंगे?","27","27","9","9","18","18","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Total small cubes = N^3 = 3^3 = 27.","कुल छोटे घन = N³ = 3³ = 27।"
"Reasoning","Calendar & Clock","RSN16-14","At 4:00, what angle (in degrees) will be formed between the two hands of a clock?","4:00 बजे घड़ी की दोनों सुइयों के मध्य कितने अंश (Degree) का कोण बनेगा?","120°","120°","90°","90°","60°","60°","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Angle = 4 * 30° = 120°.","कोण = 4 × 30° = 120°।"
"Reasoning","Calendar & Clock","RSN16-15","Which of the following is a leap year?","निम्न में से कौन-सा वर्ष लीप वर्ष (Leap Year) है?","2000","2000","1900","1900","2100","2100","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","A century year is a leap year only if it is fully divisible by 400; 2000 ÷ 400 = 5.","कोई शताब्दी वर्ष तभी लीप वर्ष होता है जब वह 400 से पूर्णतः विभाज्य हो; 2000 ÷ 400 = 5।"
"Reasoning","Non-Verbal Reasoning","RSN16-16","What changes in a mirror image of an object?","दर्पण प्रतिबिंब (Mirror Image) में क्या परिवर्तित होता है?","Only the left and right sides","केवल बायाँ और दाएँ भाग","Only the top and bottom","केवल ऊपर और नीचे","Both","दोनों","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","A mirror image reverses only the left and right sides (lateral inversion).","दर्पण प्रतिबिंब में केवल बायाँ और दाएँ भाग ही उलट जाता है।"
"Reasoning","Non-Verbal Reasoning","RSN16-17","What changes in a water image of an object?","जल प्रतिबिंब (Water Image) में क्या परिवर्तित होता है?","Only the top and bottom part","केवल ऊपर और नीचे का भाग","Only the left and right","केवल बायाँ और दाएँ","No change occurs","कोई परिवर्तन नहीं","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","A water image reverses only the top and bottom part (upside-down flip).","जल प्रतिबिंब में केवल ऊपर और नीचे का भाग ही उलट जाता है।"
"Reasoning","Statement & Assumption","RSN16-18","Statement: ""Please do not lean out of the train window."" Assumptions: (I) People may lean out. (II) Leaning out may cause injury.","कथन: ""कृपया ट्रेन की खिड़की से बाहर न झुकें।"" पूर्वधारणाएँ: (I) लोग बाहर झुक सकते हैं। (II) बाहर झुकने से चोट लग सकती है।","Both I and II are implicit","दोनों I और II अंतर्निहित हैं","Only I is implicit","केवल I अंतर्निहित है","Only II is implicit","केवल II अंतर्निहित है","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Warnings are issued because people might do the action and doing so carries risk.","चेतावनी इसलिए दी जाती है क्योंकि लोग ऐसा कर सकते हैं और ऐसा करने में जोखिम है।"
"Reasoning","Statement & Conclusion","RSN16-19","Statement: Unemployment is one of the primary causes of poverty. Conclusion: (I) Creating job opportunities is essential to reduce poverty.","कथन: बेरोजगारी गरीबी के प्राथमिक कारणों में से एक है। निष्कर्ष: (I) गरीबी कम करने के लिए रोजगार के अवसर पैदा करना आवश्यक है।","Conclusion I follows","निष्कर्ष I अनुसरण करता है","Conclusion I does not follow","निष्कर्ष I अनुसरण नहीं करता","Insufficient data","पर्याप्त डेटा नहीं है","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Since unemployment causes poverty, creating jobs directly addresses the root cause.","चूँकि बेरोजगारी गरीबी का कारण है, अतः रोजगार के अवसर पैदा करने से गरीबी कम होगी।"
"Reasoning","Seating Arrangement","RSN16-20","5 friends A, B, C, D, E are sitting in a row facing North. C is in the middle. A is to the left of B and right of C. Who is sitting at the extreme right?","5 मित्र A, B, C, D, E उत्तर की ओर मुँह करके एक पंक्ति में बैठे हैं। C ठीक बीच में है। A, B के बाएँ और C के दाएँ है। अंतिम दाएँ छोर पर कौन बैठा है?","B","B","A","A","E","E","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Arrangement: D/E, E/D, C, A, B. Extreme right position is occupied by B.","क्रम: D/E, E/D, C, A, B। अंतिम दाएँ छोर पर B बैठा है।"
